datetime,delhi_load,brpl_load,bypl_load,ndpl_load,ndmc_load,mes_load
2022-07-25 00:00:00,5518.96,2384.86,1253.93,1606.76,191.08,29.42
2022-07-25 01:00:00,5176.52,2216.24,1187.61,1517.31,177.33,29.01
2022-07-25 02:00:00,4868.34,2086.45,1111.61,1426.07,169.62,28.39
2022-07-25 03:00:00,4576.95,1964.59,1028.29,1349.05,165.86,27.91
2022-07-25 04:00:00,4354.93,1860.67,979.98,1286.35,161.49,27.1
2022-07-25 05:00:00,4228.6,1820.09,934.62,1245.37,160.53,27.76
2022-07-25 06:00:00,4103.14,1768.8,910.72,1193.52,161.7,29.54
2022-07-25 07:00:00,4104.82,1752.71,919.12,1191.53,177.03,30.61
2022-07-25 08:00:00,4098.09,1718.57,909.98,1194.24,198.53,33.39
2022-07-25 09:00:00,4211.96,1789.87,890.78,1201.42,248.69,38.53
2022-07-25 10:00:00,4779.37,2021.09,964.72,1445.05,265.02,41.06
2022-07-25 11:00:00,5087.33,2056.98,1084.25,1573.68,286.27,41.15
2022-07-25 12:00:00,5181.87,2100.73,1112.86,1590.17,286.56,41.31
2022-07-25 13:00:00,5182.52,2148.85,1100.54,1550.77,291.52,40.68
2022-07-25 14:00:00,5324.2,2184.89,1141.71,1605.16,303.14,40.17
2022-07-25 15:00:00,5739.74,2327.35,1232.63,1748.51,337.08,39.26
2022-07-25 16:00:00,5701.08,2334.03,1201.26,1728.21,345.33,38.11
2022-07-25 17:00:00,5570.81,2315.99,1176.04,1654.16,329.59,35.95
2022-07-25 18:00:00,5276.96,2190.59,1138.44,1587.09,290.03,33.62
2022-07-25 19:00:00,5089.76,2128.24,1085.17,1551.79,244.01,31.07
2022-07-25 20:00:00,5191.85,2241.4,1092.75,1546.14,230.38,33.09
2022-07-25 21:00:00,5161.62,2235.64,1113.7,1511.22,207.52,33.41
2022-07-25 22:00:00,5443.4,2334.5,1207.32,1617.02,202.35,32.9
2022-07-25 23:00:00,5769.03,2481.03,1288.86,1712.31,204.62,32.04
2022-07-26 00:00:00,5632.58,2400.0,1279.37,1675.88,193.64,30.77
2022-07-26 01:00:00,5284.95,2239.37,1202.52,1580.44,182.62,29.89
2022-07-26 02:00:00,4969.93,2099.17,1124.42,1494.53,175.49,29.18
2022-07-26 03:00:00,4688.69,1973.83,1059.76,1406.91,175.09,28.1
2022-07-26 04:00:00,4474.44,1898.06,1000.1,1334.46,171.09,27.72
2022-07-26 05:00:00,4314.79,1823.17,957.65,1294.02,168.41,28.11
2022-07-26 06:00:00,4149.05,1765.14,916.07,1235.61,162.74,30.02
2022-07-26 07:00:00,4144.7,1724.85,952.14,1227.22,169.84,30.74
2022-07-26 08:00:00,4106.93,1737.22,908.95,1192.25,197.67,33.81
2022-07-26 09:00:00,4280.49,1796.82,898.79,1264.71,243.35,38.12
2022-07-26 10:00:00,4854.34,1984.7,998.16,1516.62,268.93,39.81
2022-07-26 11:00:00,5161.09,2079.45,1078.83,1629.39,284.81,39.75
2022-07-26 12:00:00,5256.56,2115.21,1089.05,1639.77,327.9,39.79
2022-07-26 13:00:00,5165.76,2090.33,1085.37,1581.41,331.72,39.24
2022-07-26 14:00:00,5319.6,2131.23,1118.11,1657.13,324.07,38.16
2022-07-26 15:00:00,5701.92,2289.92,1203.8,1773.1,334.99,40.41
2022-07-26 16:00:00,5685.58,2278.65,1224.04,1767.67,325.85,38.0
2022-07-26 17:00:00,5543.23,2254.63,1182.2,1710.16,319.39,37.38
2022-07-26 18:00:00,5345.5,2168.63,1178.76,1630.08,279.31,33.35
2022-07-26 19:00:00,5168.08,2104.59,1138.08,1609.2,234.94,30.02
2022-07-26 20:00:00,5167.82,2169.25,1130.26,1565.45,230.23,32.19
2022-07-26 21:00:00,5198.51,2241.31,1124.54,1532.33,210.5,33.29
2022-07-26 22:00:00,5586.79,2385.77,1230.87,1675.41,210.28,32.37
2022-07-26 23:00:00,1964.07,549.94,432.1,353.53,235.69,157.13
2022-07-27 00:00:00,5664.65,2408.72,1279.95,1702.8,196.86,30.28
2022-07-27 01:00:00,5323.23,2246.14,1206.5,1601.96,188.55,29.48
2022-07-27 02:00:00,5030.2,2127.17,1130.66,1512.8,182.43,29.39
2022-07-27 03:00:00,4758.01,2012.03,1071.34,1425.34,176.69,28.64
