time,temperature_2m (°C),apparent_temperature (°C),relative_humidity_2m (%),dew_point_2m (°C),cloud_cover (%),wind_speed_10m (km/h),wind_gusts_10m (km/h),surface_pressure (hPa),precipitation (mm),rain (mm),et0_fao_evapotranspiration (mm),timestamp_weather,timestamp_utc,timestamp_hour,timestamp_load,delhi_load,brpl_load,bypl_load,ndpl_load,ndmc_load,mes_load,data_source,timestamp,hour,day_of_week,month,is_weekend,is_summer,is_monsoon,is_winter,is_morning_peak,is_evening_peak,is_peak_hour,shortwave_radiation,wet_bulb_temperature_2m,direct_radiation,diffuse_radiation,cloud_cover_total,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_direction_10m,wind_direction_100m
2022-07-25T00:00,27.6,32.0,85,24.9,52,15.5,25.2,977.6,0.0,0.0,0.03,2022-07-25 00:00:00,2022-07-25 00:00:00+00:00,2022-07-25 00:00:00+00:00,2022-07-25 00:00:00+00:00,1975.9,553.25,434.7,355.66,237.11,158.07,simulation_realistic,2022-07-25 00:00:00,0,0,7,False,False,True,False,False,False,False,0.0,24.72711,0.0,0.0,86.0,97.0,29.0,1.0,93.99084,96.340096
2022-07-25T01:00,27.5,31.8,85,24.8,50,16.1,26.3,977.8,0.0,0.0,0.03,2022-07-25 01:00:00,2022-07-25 01:00:00+00:00,2022-07-25 01:00:00+00:00,2022-07-25 01:00:00+00:00,1920.35,537.7,422.48,345.66,230.44,153.63,simulation_realistic,2022-07-25 01:00:00,1,0,7,False,False,True,False,False,False,False,17.0,24.999546,1.0,16.0,100.0,100.0,31.0,4.0,105.78082,105.52418
2022-07-25T02:00,27.3,31.7,86,24.8,29,15.2,26.3,977.3,0.0,0.0,0.02,2022-07-25 02:00:00,2022-07-25 02:00:00+00:00,2022-07-25 02:00:00+00:00,2022-07-25 02:00:00+00:00,2352.15,658.6,517.47,423.39,282.26,188.17,simulation_realistic,2022-07-25 02:00:00,2,0,7,False,False,True,False,False,False,False,59.0,24.888416,2.0,57.0,84.0,62.0,63.0,7.0,112.24908,112.24908
2022-07-25T03:00,26.2,30.4,90,24.5,100,14.8,26.6,977.7,4.2,4.2,0.01,2022-07-25 03:00:00,2022-07-25 03:00:00+00:00,2022-07-25 03:00:00+00:00,2022-07-25 03:00:00+00:00,2364.66,662.1,520.23,425.64,283.76,189.17,simulation_realistic,2022-07-25 03:00:00,3,0,7,False,False,True,False,False,False,False,229.0,25.063961,72.0,157.0,43.0,35.0,13.0,1.0,112.69383,112.56705
2022-07-25T04:00,25.5,29.5,93,24.3,99,16.2,24.8,977.0,4.2,4.2,0.01,2022-07-25 04:00:00,2022-07-25 04:00:00+00:00,2022-07-25 04:00:00+00:00,2022-07-25 04:00:00+00:00,2783.49,779.38,612.37,501.03,334.02,222.68,simulation_realistic,2022-07-25 04:00:00,4,0,7,False,False,True,False,False,False,False,435.0,25.444305,217.0,218.0,38.0,28.0,14.0,0.0,120.67721,119.89881
2022-07-25T05:00,25.7,30.1,93,24.4,91,13.2,27.7,976.8,0.0,0.0,0.0,2022-07-25 05:00:00,2022-07-25 05:00:00+00:00,2022-07-25 05:00:00+00:00,2022-07-25 05:00:00+00:00,3674.19,1028.77,808.32,661.35,440.9,293.94,simulation_realistic,2022-07-25 05:00:00,5,0,7,False,False,True,False,False,False,False,604.0,25.919117,353.0,251.0,31.0,24.0,15.0,0.0,121.60746,121.701385
2022-07-25T06:00,25.7,30.0,93,24.5,100,14.1,22.3,977.0,0.0,0.0,0.0,2022-07-25 06:00:00,2022-07-25 06:00:00+00:00,2022-07-25 06:00:00+00:00,2022-07-25 06:00:00+00:00,3785.61,1059.97,832.84,681.41,454.27,302.85,simulation_realistic,2022-07-25 06:00:00,6,0,7,False,False,True,False,False,False,False,677.0,26.205336,422.0,255.0,29.0,16.0,16.0,0.0,118.85556,119.05451
2022-07-25T07:00,25.8,29.8,92,24.4,86,15.5,29.2,977.3,0.2,0.2,0.01,2022-07-25 07:00:00,2022-07-25 07:00:00+00:00,2022-07-25 07:00:00+00:00,2022-07-25 07:00:00+00:00,4385.16,1227.85,964.74,789.33,526.22,350.81,simulation_realistic,2022-07-25 07:00:00,7,0,7,False,False,True,False,False,False,False,688.0,26.167479,446.0,242.0,31.0,21.0,16.0,0.0,117.47435,117.61294
2022-07-25T08:00,26.4,30.3,89,24.5,100,17.2,29.5,978.4,0.5,0.5,0.04,2022-07-25 08:00:00,2022-07-25 08:00:00+00:00,2022-07-25 08:00:00+00:00,2022-07-25 08:00:00+00:00,5126.16,1435.32,1127.76,922.71,615.14,410.09,simulation_realistic,2022-07-25 08:00:00,8,0,7,False,False,True,False,True,False,True,760.0,26.380638,500.0,260.0,25.0,23.0,9.0,1.0,120.01828,119.953514
2022-07-25T09:00,26.4,30.3,89,24.4,84,17.1,31.3,978.7,1.4,1.4,0.07,2022-07-25 09:00:00,2022-07-25 09:00:00+00:00,2022-07-25 09:00:00+00:00,2022-07-25 09:00:00+00:00,5343.79,1496.26,1175.63,961.88,641.25,427.5,simulation_realistic,2022-07-25 09:00:00,9,0,7,False,False,True,False,True,False,True,687.0,26.332981,435.0,252.0,31.0,24.0,11.0,0.0,114.94388,115.301346
